time	V(n001)	V(n002)	V(n003)
2.025499338828107e-002	2.700057e+000	1.058456e-001	9.943439e-001
2.025517624706691e-002	2.700200e+000	5.787630e-002	9.749041e-001
2.025531169193017e-002	2.700306e+000	4.015700e-002	9.677165e-001
2.025539640666748e-002	2.700373e+000	3.510309e-002	9.656658e-001
2.025550587853165e-002	2.700459e+000	3.188877e-002	9.643614e-001
2.025560556193489e-002	2.700536e+000	3.032940e-002	9.637286e-001
2.025575601532832e-002	2.700654e+000	2.923973e-002	9.632864e-001
2.025591711055493e-002	2.700780e+000	2.875091e-002	9.630880e-001
2.025615006566032e-002	2.700963e+000	2.853406e-002	9.630001e-001
2.025644193124264e-002	2.701191e+000	2.846871e-002	9.629736e-001
2.052669563551910e-002	2.912846e+000	2.846099e-002	9.629713e-001
2.079694933979555e-002	3.118172e+000	2.845525e-002	9.629699e-001
2.106720304407200e-002	3.317171e+000	2.845150e-002	9.629692e-001
2.133745674834846e-002	3.509841e+000	2.844973e-002	9.629693e-001
2.160771045262491e-002	3.696183e+000	2.844994e-002	9.629702e-001
2.187796415690136e-002	3.876197e+000	2.845214e-002	9.629719e-001
2.214821786117782e-002	4.049883e+000	2.845633e-002	9.629744e-001
2.276619886104108e-002	4.395133e+000	2.845635e-002	9.629759e-001
2.325798394286551e-002	4.617909e+000	2.845636e-002	9.629769e-001
2.390800697873743e-002	4.840350e+000	2.845638e-002	9.629779e-001
2.428291821317181e-002	4.929664e+000	2.845638e-002	9.629783e-001
2.460156184168803e-002	4.974554e+000	2.845639e-002	9.629785e-001
2.490372187407590e-002	4.992146e+000	2.845639e-002	9.629785e-001
2.526420598128963e-002	4.981095e+000	2.845639e-002	9.629785e-001
2.573002094625107e-002	4.913647e+000	2.845638e-002	9.629782e-001
2.648469619386645e-002	4.684685e+000	2.845637e-002	9.629772e-001
2.768409911203210e-002	4.129678e+000	2.845633e-002	9.629747e-001
2.831756870560193e-002	3.746540e+000	2.845631e-002	9.629731e-001
2.905277208643183e-002	3.225868e+000	2.845627e-002	9.629708e-001
3.125547810649224e-002	1.542075e+000	2.845408e-002	9.629599e-001
3.167002273460898e-002	1.248286e+000	2.846503e-002	9.629657e-001
3.173911350596178e-002	1.201361e+000	2.853061e-002	9.629920e-001
3.187729504866736e-002	1.109737e+000	2.898240e-002	9.631745e-001
3.191184043434376e-002	1.087193e+000	2.964778e-002	9.634438e-001
3.198093120569655e-002	1.042685e+000	3.239530e-002	9.645560e-001
3.198740846551088e-002	1.038550e+000	3.299928e-002	9.648005e-001
3.199604481192998e-002	1.033056e+000	3.413618e-002	9.652607e-001
3.201331750476817e-002	1.022104e+000	3.776672e-002	9.667305e-001
3.204010350014638e-002	1.005172e+000	4.595808e-002	9.700467e-001
3.204275958248794e-002	1.003501e+000	4.748913e-002	9.706665e-001
3.204630102561003e-002	1.001275e+000	5.004013e-002	9.716993e-001
3.205338391185419e-002	9.968254e-001	5.629199e-002	9.742303e-001
3.205514075899019e-002	9.957229e-001	5.837283e-002	9.750727e-001
3.205865445326220e-002	9.935195e-001	6.370519e-002	9.772315e-001
3.205953287683021e-002	9.929689e-001	6.541371e-002	9.779232e-001
3.206172893575021e-002	9.915931e-001	7.089735e-002	9.801431e-001
3.206260735931821e-002	9.910430e-001	7.411350e-002	9.814450e-001
3.206366601869967e-002	9.903801e-001	7.906874e-002	9.834509e-001
3.206447648021363e-002	9.898728e-001	8.400825e-002	9.854504e-001
3.206500590137850e-002	9.895414e-001	8.922689e-002	9.875627e-001
3.206540083383884e-002	9.892942e-001	9.457289e-002	9.897263e-001
3.206573516927327e-002	9.890850e-001	1.006887e-001	9.922013e-001
3.206595381440739e-002	9.889482e-001	1.063961e-001	9.945108e-001
3.206621584891600e-002	9.887843e-001	1.165214e-001	9.986076e-001
3.206646900799026e-002	9.886259e-001	1.320539e-001	1.004892e+000
3.206675197827223e-002	9.884489e-001	1.603196e-001	1.016327e+000
3.206701604697636e-002	9.882836e-001	2.024204e-001	1.033362e+000
